iter	Passed	Remaining
216	765	2762
217	767	2754
218	769	2745
219	772	2738
220	774	2731
221	779	2731
222	781	2722
223	783	2713
224	785	2704
225	787	2697
226	790	2690
227	793	2685
228	795	2679
229	797	2671
230	799	2663
231	802	2654
232	804	2646
233	805	2638
234	809	2634
235	811	2628
236	813	2619
237	815	2611
238	817	2603
239	819	2595
240	822	2589
241	824	2583
242	826	2575
243	829	2568
244	831	2561
245	835	2560
246	842	2566
247	844	2561
248	847	2556
249	850	2551
250	854	2548
251	858	2548
252	861	2545
253	864	2540
254	868	2536
255	872	2535
256	874	2528
257	877	2522
258	879	2516
259	886	2523
260	889	2517
261	891	2511
262	893	2504
263	895	2497
264	897	2489
265	901	2486
266	903	2480
267	905	2472
268	907	2466
269	909	2458
270	911	2451
271	913	2446
272	916	2440
273	918	2433
274	920	2426
275	922	2418
276	924	2411
277	926	2405
278	928	2400
279	932	2396
280	934	2390
281	937	2386
282	941	2384
283	952	2400
284	954	2394
285	956	2388
286	960	2385
287	965	2388
288	968	2381
289	970	2375
290	972	2368
291	973	2361
292	976	2357
293	979	2351
294	981	2344
295	982	2337
296	985	2331
297	987	2325
298	989	2318
299	991	2314
300	994	2309
301	996	2302
302	1000	2302
303	1003	2297
304	1006	2293
305	1009	2289
306	1011	2282
307	1014	2278
308	1016	2273
309	1019	2268
310	1022	2264
311	1028	2268
312	1031	2263
313	1033	2257
314	1036	2253
315	1041	2253
316	1046	2254
317	1048	2249
318	1051	2243
319	1056	2244
320	1061	2244
321	1063	2240
322	1066	2235
323	1070	2233
324	1072	2228
325	1074	2222
326	1076	2216
327	1078	2209
328	1080	2204
329	1085	2203
330	1087	2197
331	1089	2192
332	1093	2190
333	1096	2186
334	1101	2185
335	1103	2179
336	1105	2175
337	1108	2171
338	1111	2167
339	1116	2167
340	1119	2163
341	1124	2164
342	1127	2160
343	1131	2157
344	1134	2153
345	1136	2148
346	1138	2142
347	1140	2136
348	1141	2130
349	1145	2126
350	1147	2122
351	1149	2116
352	1151	2110
353	1153	2104
354	1155	2099
355	1157	2094
356	1161	2091
357	1163	2086
358	1165	2080
359	1166	2074
360	1168	2068
361	1170	2063
362	1172	2058
363	1176	2055
364	1179	2051
365	1181	2047
366	1183	2041
367	1185	2035
368	1187	2030
369	1189	2025
370	1192	2021
371	1194	2016
372	1196	2011
373	1200	2009
374	1208	2014
375	1211	2011
376	1215	2007
377	1218	2005
378	1243	2038
379	1249	2038
380	1258	2043
381	1261	2040
382	1264	2037
383	1269	2036
384	1303	2082
385	1308	2081
386	1311	2078
387	1325	2090
388	1332	2092
389	1336	2090
390	1340	2087
391	1343	2083
392	1349	2085
393	1357	2087
394	1361	2085
395	1370	2090
396	1373	2086
397	1377	2083
398	1381	2081
399	1390	2085
400	1394	2082
401	1397	2079
402	1408	2086
403	1412	2083
404	1425	2094
405	1429	2091
406	1438	2096
407	1441	2091
408	1444	2087
409	1447	2082
410	1451	2080
411	1454	2075
412	1458	2072
413	1461	2068
414	1464	2064
415	1469	2062
416	1471	2057
417	1481	2062
418	1485	2059
419	1487	2054
420	1490	2050
421	1496	2049
422	1499	2045
423	1502	2040
424	1504	2035
425	1507	2031
426	1517	2036
427	1521	2033
428	1524	2029
429	1529	2027
430	1531	2022
431	1534	2017
432	1537	2012
433	1547	2017
434	1550	2014
435	1553	2009
